age,job,marital,education,default,balance,housing,day,month,duration,campaign,pdays,previous
0.5324675324675325,0,1,1,0,0.29057450912195276,1,0.13333333333333333,8,0.2681103377159062,0.0,0.0,0.0
0.4935064935064935,0,1,1,0,0.2179150725645809,0,0.13333333333333333,8,0.37767465841711784,0.0,0.0,0.0
0.29870129870129875,9,1,1,0,0.2566478009295855,1,0.13333333333333333,8,0.35756638308842487,0.0,0.0,0.0
0.4805194805194805,7,1,1,0,0.2947797767730104,1,0.13333333333333333,8,0.14874967775199793,0.0,0.0,0.0
0.4675324675324675,0,1,2,0,0.22231005153824265,0,0.13333333333333333,8,0.17298272750708946,0.016129032258064516,0.0,0.0
0.31168831168831174,4,2,2,0,0.21649223764505013,1,0.13333333333333333,8,0.14436710492394947,0.016129032258064516,0.0,0.0
0.4935064935064935,4,1,2,0,0.2427356372719512,1,0.16666666666666669,8,0.3091002835782418,0.0,0.0,0.0
0.5454545454545454,5,0,1,0,0.23372434944825626,1,0.16666666666666669,8,0.26501675689610726,0.0,0.0,0.0
0.24675324675324678,9,1,1,0,0.21652385619881748,1,0.16666666666666669,8,0.15622583139984533,0.0,0.0,0.0
0.12987012987012986,7,2,1,0,0.37743067632086513,1,0.16666666666666669,8,0.3338489301366332,0.03225806451612903,0.0,0.0
0.25974025974025977,0,2,1,0,0.2196540930217852,1,0.2,8,0.20211394689352927,0.0,0.0,0.0
0.15584415584415584,1,1,1,0,0.2262623707591615,1,0.2,8,0.4052590873936582,0.016129032258064516,0.0,0.0
0.14285714285714285,4,1,2,0,0.2227843298447529,1,0.2,8,0.4349059035833978,0.04838709677419355,0.0,0.0
0.3636363636363637,1,2,2,0,0.23103677237803144,1,0.2,8,0.28357824181490077,0.016129032258064516,0.0,0.0
0.16883116883116883,9,2,2,0,0.23872008094349767,1,0.23333333333333334,8,0.2425882959525651,0.016129032258064516,0.0,0.0
0.2207792207792208,4,0,2,0,0.3378126284503747,1,0.23333333333333334,8,0.27893787058520236,0.0,0.0,0.0
0.18181818181818182,1,2,0,0,0.23581117399690138,1,0.23333333333333334,8,0.13895333848930136,0.03225806451612903,0.0,0.0
0.40259740259740256,7,1,1,0,0.2162392892149113,1,0.23333333333333334,8,0.2879608146429492,0.0,0.0,0.0
0.29870129870129875,0,1,1,0,0.2182312581022544,1,0.23333333333333334,8,0.2882186130445991,0.016129032258064516,0.0,0.0
0.40259740259740256,0,0,1,0,0.22180415467796505,1,0.23333333333333334,8,0.1317349832431039,0.0,0.0,0.0
0.12987012987012986,0,0,1,0,0.24131280235242042,1,0.23333333333333334,8,0.1134312967259603,0.016129032258064516,0.0,0.0
